time,equity,balance
2025-01-02 01:25:00,10000.0,10000.0
2025-01-02 01:30:00,10003.700000000008,10000.0
2025-01-02 01:35:00,10034.04000000001,10000.0
2025-01-02 01:40:00,10051.80000000001,10000.0
2025-01-02 01:45:00,10054.759999999997,10000.0
2025-01-02 01:50:00,10052.539999999999,10000.0
2025-01-02 01:55:00,10048.840000000007,10000.0
2025-01-02 02:00:00,10070.300000000001,10000.0
2025-01-02 02:05:00,10071.040000000005,10000.0
2025-01-02 02:10:00,10067.339999999998,10000.0
2025-01-02 02:15:00,10071.040000000005,10000.0
2025-01-02 02:20:00,10079.919999999998,10000.0
2025-01-02 02:25:00,10088.800000000007,10000.0
2025-01-02 02:30:00,10096.940000000011,10000.0
2025-01-02 02:35:00,10105.079999999998,10000.0
2025-01-02 02:40:00,10116.180000000006,10000.0
2025-01-02 02:45:00,10141.340000000006,10000.0
2025-01-02 02:50:00,10133.200000000003,10000.0
2025-01-02 02:55:00,10146.520000000008,10000.0
2025-01-02 03:00:00,10150.219999999998,10000.0
2025-01-02 03:05:00,10162.8,10000.0
2025-01-02 03:10:00,10149.48000000001,10000.0
2025-01-02 03:15:00,10136.160000000005,10000.0
2025-01-02 03:20:00,10148.0,10000.0
2025-01-02 03:25:00,10142.08000000001,10000.0
2025-01-02 03:30:00,10165.020000000013,10000.0
2025-01-02 03:35:00,10151.700000000008,10000.0
2025-01-02 03:40:00,10154.66000000001,10000.0
2025-01-02 03:45:00,10137.639999999998,10000.0
2025-01-02 03:50:00,10145.039999999997,10000.0
2025-01-02 03:55:00,10150.960000000003,10000.0
2025-01-02 04:00:00,10162.8,10000.0
2025-01-02 04:05:00,10172.420000000013,10000.0
2025-01-02 04:10:00,10171.680000000008,10000.0
2025-01-02 04:15:00,10167.98,10000.0
2025-01-02 04:20:00,10158.360000000002,10000.0
2025-01-02 04:25:00,10148.0,10000.0
2025-01-02 04:30:00,10129.500000000011,10000.0
2025-01-02 04:35:00,10120.62,10000.0
2025-01-02 04:40:00,10119.880000000014,10000.0
2025-01-02 04:45:00,10133.200000000003,10000.0
2025-01-02 04:50:00,10137.639999999998,10000.0
2025-01-02 04:55:00,10133.940000000006,10000.0
2025-01-02 05:00:00,10134.680000000011,10000.0
2025-01-02 05:05:00,10108.04,10000.0
2025-01-02 05:10:00,10111.740000000009,10000.0
2025-01-02 05:15:00,10113.220000000003,10000.0
2025-01-02 05:20:00,10102.86,10000.0
2025-01-02 05:25:00,10102.86,10000.0
2025-01-02 05:30:00,10087.319999999996,10000.0
2025-01-02 05:35:00,10088.800000000007,10000.0
2025-01-02 05:40:00,10081.400000000007,10000.0
2025-01-02 05:45:00,10091.76000000001,10000.0
2025-01-02 05:50:00,10099.160000000009,10000.0
2025-01-02 05:55:00,10095.460000000001,10000.0
2025-01-02 06:00:00,10088.800000000007,10000.0
2025-01-02 06:05:00,10082.140000000012,10000.0
2025-01-02 06:10:00,10084.36000000001,10000.0
2025-01-02 06:15:00,10087.319999999996,10000.0
2025-01-02 06:20:00,10079.919999999998,10000.0
2025-01-02 06:25:00,10079.919999999998,10000.0
2025-01-02 06:30:00,10093.980000000007,10000.0
2025-01-02 06:35:00,10083.620000000006,10000.0
2025-01-02 06:40:00,10092.499999999998,10000.0
2025-01-02 06:45:00,10096.200000000006,10000.0
2025-01-02 06:50:00,10093.240000000003,10000.0
2025-01-02 06:55:00,10095.460000000001,10000.0
2025-01-02 07:00:00,10096.940000000011,10000.0
2025-01-02 07:05:00,10121.360000000006,10000.0
2025-01-02 07:10:00,10123.580000000004,10000.0
2025-01-02 07:15:00,10121.360000000006,10000.0
2025-01-02 07:20:00,10120.62,10000.0
2025-01-02 07:25:00,10128.760000000006,10000.0
2025-01-02 07:30:00,10128.02,10000.0
2025-01-02 07:35:00,10110.26,10000.0
2025-01-02 07:40:00,10127.280000000012,10000.0
