entry_time,exit_time,type,entry_price,exit_price,sl,tp,lot_size,pips,profit,balance,reason,bars_held,conditions,has_order_block
2025-05-28 13:45:00,2025-05-28 15:00:00,BUY,3304.196,3298.118214285714,3298.118214285714,3322.429357142857,0.12,-6077.78571428571,-72.93342857142852,7054.057420000318,Stop Loss,15,2,False
2025-05-28 15:05:00,2025-05-28 15:30:00,BUY,3298.089,3294.116586,3294.116586,3310.0062419999995,0.18,-3972.4139999998442,-71.5034519999972,6982.553968000321,Stop Loss,5,3,True
2025-05-28 15:35:00,2025-05-28 16:45:00,BUY,3295.617,3290.245392857143,3290.245392857143,3311.7318214285715,0.13,-5371.607142857101,-69.83089285714232,6912.723075143179,Stop Loss,14,2,False
2025-05-28 16:50:00,2025-05-28 20:50:00,BUY,3292.341,3288.7166785714285,3288.7166785714285,3303.213964285714,0.19,-3624.3214285714203,-68.86210714285698,6843.860968000322,Stop Loss,48,3,False
2025-05-28 20:55:00,2025-05-28 22:20:00,BUY,3286.656,3282.0942857142854,3282.0942857142854,3300.3411428571435,0.15,-4561.714285714515,-68.42571428571773,6775.435253714604,Stop Loss,5,2,False
2025-05-28 23:25:00,2025-05-28 23:35:00,BUY,3266.226,3258.4083214285715,3258.4083214285715,3289.679035714286,0.09,-7817.678571428587,-70.35910714285728,6705.076146571747,Stop Loss,2,2,False
2025-05-28 23:45:00,2025-05-29 01:05:00,BUY,3259.146,3249.957428571429,3249.957428571429,3286.711714285714,0.07,-9188.571428571322,-64.31999999999925,6640.756146571748,Stop Loss,16,2,False
2025-05-29 01:10:00,2025-05-29 01:15:00,BUY,3252.619,3247.022727,3247.022727,3269.4078190000005,0.12,-5596.27300000011,-67.15527600000132,6573.600870571747,Stop Loss,1,3,True
2025-05-29 01:20:00,2025-05-29 07:15:00,BUY,3255.434,3280.6678190000007,3247.022727,3280.6678190000007,0.08,25233.819000000494,201.87055200000395,6775.471422571751,Take Profit,71,3,True
2025-05-29 07:20:00,2025-05-29 07:55:00,SELL,3281.159,3285.308535714286,3285.308535714286,3268.710392857143,0.16,-4149.535714285776,-66.39257142857241,6709.078851143178,Stop Loss,7,2,False
2025-05-29 08:05:00,2025-05-29 10:15:00,SELL,3284.786,3289.641392857143,3289.641392857143,3270.219821428572,0.14,-4855.3928571427605,-67.97549999999865,6641.10335114318,Stop Loss,26,2,False
2025-05-29 10:30:00,2025-05-29 11:30:00,SELL,3298.529,3303.2017142857144,3303.2017142857144,3284.510857142857,0.14,-4672.714285714392,-65.41800000000148,6575.685351143178,Stop Loss,12,2,False
2025-05-29 11:35:00,2025-05-29 16:00:00,BUY,3300.306,3324.988122,3292.078626,3324.988122,0.08,24682.122000000163,197.4569760000013,6773.1423271431795,Take Profit,53,2,True
2025-05-29 16:20:00,2025-05-29 23:40:00,BUY,3325.156,3313.478205,3313.478205,3360.189385,0.06,-11677.79500000006,-70.06677000000036,6703.075557143179,Stop Loss,76,2,True
2025-05-29 23:40:00,2025-05-30 12:10:00,SELL,3314.253,3284.7066570000025,3324.1017809999994,3284.7066570000025,0.07,29546.342999997705,206.82440099998396,6909.8999581431635,Take Profit,150,2,True
